code,name,market,marcap,updated_at
004250,NPC,KOSPI,139168800000.0,2026-02-08T07:59:48.410244
004255,NPC우,KOSPI,12460800000.0,2026-02-08T07:59:48.410244
004270,남성,KOSPI,29042152320.0,2026-02-08T07:59:48.410244
004310,현대약품,KOSPI,380160000000.0,2026-02-08T07:59:48.410244
004360,세방,KOSPI,284631328670.0,2026-02-08T07:59:48.410244
004365,세방우,KOSPI,33793530000.0,2026-02-08T07:59:48.410244
004370,농심,KOSPI,2554709640000.0,2026-02-08T07:59:48.410244
004380,삼익THK,KOSPI,206172000000.0,2026-02-08T07:59:48.410244
004410,서울식품,KOSPI,56965569856.0,2026-02-08T07:59:48.410244
004415,서울식품우,KOSPI,2711665500.0,2026-02-08T07:59:48.410244
004430,송원산업,KOSPI,219600000000.0,2026-02-08T07:59:48.410244
004440,삼일씨엔에스,KOSPI,78810751930.0,2026-02-08T07:59:48.410244
004450,삼화왕관,KOSPI,60968925700.0,2026-02-08T07:59:48.410244
004490,세방전지,KOSPI,873180000000.0,2026-02-08T07:59:48.410244
0044K0,삼성스팩10호,KOSDAQ,15152800000.0,2026-02-08T07:59:48.410244
004540,깨끗한나라,KOSPI,70422150463.0,2026-02-08T07:59:48.410244
004545,깨끗한나라우,KOSPI,3972836000.0,2026-02-08T07:59:48.410244
004560,현대비앤지스틸,KOSPI,239602306790.0,2026-02-08T07:59:48.410244
004590,한국가구,KOSDAQ,76200000000.0,2026-02-08T07:59:48.410244
004650,창해에탄올,KOSDAQ,89059675650.0,2026-02-08T07:59:48.410244
004690,삼천리,KOSPI,565675987500.0,2026-02-08T07:59:48.410244
004700,조광피혁,KOSPI,460785263400.0,2026-02-08T07:59:48.410244
004710,한솔테크닉스,KOSPI,174356637540.0,2026-02-08T07:59:48.410244
004720,팜젠사이언스,KOSPI,92099135890.0,2026-02-08T07:59:48.410244
004770,써니전자,KOSPI,57841616502.0,2026-02-08T07:59:48.410244
004780,대륙제관,KOSDAQ,57410548390.0,2026-02-08T07:59:48.410244
004800,효성,KOSPI,2343656980000.0,2026-02-08T07:59:48.410244
004830,덕성,KOSPI,75185600000.0,2026-02-08T07:59:48.410244
004835,덕성우,KOSPI,9382080000.0,2026-02-08T07:59:48.410244
004840,DRB동일,KOSPI,114198900000.0,2026-02-08T07:59:48.410244
004870,티웨이홀딩스,KOSPI,52281534228.0,2026-02-08T07:59:48.410244
004890,동일산업,KOSPI,93855820500.0,2026-02-08T07:59:48.410244
004910,조광페인트,KOSPI,65536000000.0,2026-02-08T07:59:48.410244
004920,씨아이테크,KOSPI,57919657920.0,2026-02-08T07:59:48.410244
004960,한신공영,KOSPI,135377213400.0,2026-02-08T07:59:48.410244
004970,신라교역,KOSPI,151520000000.0,2026-02-08T07:59:48.410244
004980,성신양회,KOSPI,250799426790.0,2026-02-08T07:59:48.410244
004985,성신양회우,KOSPI,8562907800.0,2026-02-08T07:59:48.410244
004990,롯데지주,KOSPI,3252186347000.0,2026-02-08T07:59:48.410244
00499K,롯데지주우,KOSPI,23443047300.0,2026-02-08T07:59:48.410244
005010,휴스틸,KOSPI,238518378375.0,2026-02-08T07:59:48.410244
005030,부산주공,KOSPI,38288532168.0,2026-02-08T07:59:48.410244
005070,코스모신소재,KOSPI,1612533497600.0,2026-02-08T07:59:48.410244
005090,SGC에너지,KOSPI,412106923800.0,2026-02-08T07:59:48.410244
005110,한창,KOSPI,26467434378.0,2026-02-08T07:59:48.410244
005160,동국산업,KOSDAQ,147816213450.0,2026-02-08T07:59:48.410244
005180,빙그레,KOSPI,749167115200.0,2026-02-08T07:59:48.410244
005250,녹십자홀딩스,KOSPI,701660893200.0,2026-02-08T07:59:48.410244
005257,녹십자홀딩스2우,KOSPI,20303760000.0,2026-02-08T07:59:48.410244
005290,동진쎄미켐,KOSDAQ,2642704991600.0,2026-02-08T07:59:48.410244
005300,롯데칠성,KOSPI,1244298344400.0,2026-02-08T07:59:48.410244
005305,롯데칠성우,KOSPI,65048509000.0,2026-02-08T07:59:48.410244
005320,온타이드,KOSPI,30905811880.0,2026-02-08T07:59:48.410244
005360,모나미,KOSPI,34487585275.0,2026-02-08T07:59:48.410244
005380,현대차,KOSPI,95724255605000.0,2026-02-08T07:59:48.410244
005385,현대차우,KOSPI,5753546640000.0,2026-02-08T07:59:48.410244
005387,현대차2우B,KOSPI,8723500535000.0,2026-02-08T07:59:48.410244
005389,현대차3우B,KOSPI,552769850000.0,2026-02-08T07:59:48.410244
005420,코스모화학,KOSPI,607234084680.0,2026-02-08T07:59:48.410244
005430,한국공항,KOSPI,215312140000.0,2026-02-08T07:59:48.410244
005440,현대지에프홀딩스,KOSPI,1551247794950.0,2026-02-08T07:59:48.410244
005490,POSCO홀딩스,KOSPI,29095396244000.0,2026-02-08T07:59:48.410244
0054V0,엔에이치스팩32호,KOSDAQ,12930320000.0,2026-02-08T07:59:48.410244
005500,삼진제약,KOSPI,255744000000.0,2026-02-08T07:59:48.410244
005610,SPC삼립,KOSPI,431018999550.0,2026-02-08T07:59:48.410244
005670,푸드웰,KOSDAQ,61600000000.0,2026-02-08T07:59:48.410244
005680,삼영전자,KOSPI,234200000000.0,2026-02-08T07:59:48.410244
005690,파미셀,KOSPI,803627147960.0,2026-02-08T07:59:48.410244
005710,대원산업,KOSDAQ,261490680000.0,2026-02-08T07:59:48.410244
005720,넥센,KOSPI,348571290270.0,2026-02-08T07:59:48.410244
005725,넥센우,KOSPI,17138856000.0,2026-02-08T07:59:48.410244
005740,크라운해태홀딩스,KOSPI,101704326950.0,2026-02-08T07:59:48.410244
005745,크라운해태홀딩스우,KOSPI,4661633760.0,2026-02-08T07:59:48.410244
005750,대림바스,KOSPI,91197152800.0,2026-02-08T07:59:48.410244
005800,신영와코루,KOSPI,150300000000.0,2026-02-08T07:59:48.410244
005810,풍산홀딩스,KOSPI,564436981800.0,2026-02-08T07:59:48.410244
005820,원림,KOSPI,32998849200.0,2026-02-08T07:59:48.410244
005830,DB손해보험,KOSPI,11385914400000.0,2026-02-08T07:59:48.410244
005850,에스엘,KOSPI,2392098780000.0,2026-02-08T07:59:48.410244
005860,한일사료,KOSDAQ,120181239250.0,2026-02-08T07:59:48.410244
005870,휴니드,KOSPI,119986127500.0,2026-02-08T07:59:48.410244
005880,대한해운,KOSPI,660018310300.0,2026-02-08T07:59:48.410244
005930,삼성전자,KOSPI,938854574429200.0,2026-02-08T07:59:48.410244
005935,삼성전자우,KOSPI,91715552233600.0,2026-02-08T07:59:48.410244
005940,NH투자증권,KOSPI,9247136375550.0,2026-02-08T07:59:48.410244
005945,NH투자증권우,KOSPI,420822586400.0,2026-02-08T07:59:48.410244
005950,이수화학,KOSPI,232703395650.0,2026-02-08T07:59:48.410244
