code,sector_code,sector_name,industry_code,industry_name,updated_at,source
042000,000,KOSDAQ 100,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",2026-02-10T04:25:34.406691,search_stock_info
042660,015,운수장비,033101,선박 및 보트 건조업,2026-02-10T04:25:35.014485,search_stock_info
042700,012,기계,032902,특수 목적용 기계 제조업,2026-02-10T04:25:35.907568,search_stock_info
043260,043,IT H/W,032602,전자부품 제조업,2026-02-10T04:25:36.706384,search_stock_info
047050,016,유통업,074601,상품 중개업,2026-02-10T04:25:37.706590,search_stock_info
047810,03,"항공기,우주선 및 부품 제조업",033103,"항공기,우주선 및 부품 제조업",2026-02-10T04:25:38.410943,search_stock_info:industry_fallback
048410,043,IT H/W,032004,기타 화학제품 제조업,2026-02-10T04:25:39.011920,search_stock_info
051910,008,화학,032001,기초화학물질 제조업,2026-02-10T04:25:39.806300,search_stock_info
052400,042,IT S/W & SVC,105802,소프트웨어 개발 및 공급업,2026-02-10T04:25:40.709158,search_stock_info
052690,13,"건축기술, 엔지니어링 및 관련기술 서비스업",137201,"건축기술, 엔지니어링 및 관련기술 서비스업",2026-02-10T04:25:41.306359,search_stock_info:industry_fallback
055550,021,금융업,116409,기타 금융업,2026-02-10T04:25:42.306718,search_stock_info
056080,027,유통,032902,특수 목적용 기계 제조업,2026-02-10T04:25:43.113628,search_stock_info
056190,024,제조,032902,특수 목적용 기계 제조업,2026-02-10T04:25:44.106599,search_stock_info
058470,043,IT H/W,032602,전자부품 제조업,2026-02-10T04:25:45.318669,search_stock_info
058610,043,IT H/W,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-02-10T04:25:46.222764,search_stock_info
060250,042,IT S/W & SVC,116601,금융지원 서비스업,2026-02-10T04:25:47.117837,search_stock_info
060370,026,건설,064203,전기 및 통신 공사업,2026-02-10T04:25:48.306148,search_stock_info
064350,03,철도장비 제조업,033102,철도장비 제조업,2026-02-10T04:25:49.806881,search_stock_info:industry_fallback
064400,10,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2026-02-10T04:25:50.707774,search_stock_info:industry_fallback
064760,043,IT H/W,032309,기타 비금속 광물제품 제조업,2026-02-10T04:25:51.508022,search_stock_info
065350,024,제조,032805,가정용 기기 제조업,2026-02-10T04:25:52.192914,search_stock_info
066570,013,"전기,전자",032604,통신 및 방송 장비 제조업,2026-02-10T04:25:53.606563,search_stock_info
067160,042,IT S/W & SVC,105802,소프트웨어 개발 및 공급업,2026-02-10T04:25:54.508121,search_stock_info
067310,043,IT H/W,032601,반도체 제조업,2026-02-10T04:25:55.210634,search_stock_info
068270,024,증권,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:25:56.501362,search_stock_info
068760,042,IT S/W & SVC,032102,의약품 제조업,2026-02-10T04:25:57.628558,search_stock_info
071050,021,금융업,116409,기타 금융업,2026-02-10T04:25:58.512954,search_stock_info
074600,024,제조,032301,유리 및 유리제품 제조업,2026-02-10T04:25:59.107593,search_stock_info
078160,024,제조,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:25:59.707132,search_stock_info
078600,043,IT H/W,032602,전자부품 제조업,2026-02-10T04:26:00.607300,search_stock_info
078930,026,서비스업,116409,기타 금융업,2026-02-10T04:26:01.609227,search_stock_info
079550,03,무기 및 총포탄 제조업,032502,무기 및 총포탄 제조업,2026-02-10T04:26:03.412485,search_stock_info:industry_fallback
080220,043,IT H/W,032601,반도체 제조업,2026-02-10T04:26:04.406860,search_stock_info
082270,024,제조,032902,특수 목적용 기계 제조업,2026-02-10T04:26:05.306393,search_stock_info
082920,043,IT H/W,032802,일차전지 및 축전지 제조업,2026-02-10T04:26:06.211949,search_stock_info
083650,024,제조,032901,일반 목적용 기계 제조업,2026-02-10T04:26:07.384982,search_stock_info
084370,043,IT H/W,032902,특수 목적용 기계 제조업,2026-02-10T04:26:08.284308,search_stock_info
085660,043,IT H/W,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:26:10.206384,search_stock_info
086280,019,운수창고,085209,기타 운송관련 서비스업,2026-02-10T04:26:11.111626,search_stock_info
086450,024,제조,032102,의약품 제조업,2026-02-10T04:26:11.706173,search_stock_info
086520,024,제조,116409,기타 금융업,2026-02-10T04:26:12.706286,search_stock_info
086790,021,금융업,116409,기타 금융업,2026-02-10T04:26:13.813709,search_stock_info
086900,024,제조,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:26:15.209116,search_stock_info
087010,03,기초 의약물질 및 생물학적 제제 제조업,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:26:16.307679,search_stock_info:industry_fallback
089030,003,KOSDAQ MID 300,032902,특수 목적용 기계 제조업,2026-02-10T04:26:17.407988,search_stock_info
090430,008,화학,032004,기타 화학제품 제조업,2026-02-10T04:26:18.515848,search_stock_info
090710,024,제조,032902,특수 목적용 기계 제조업,2026-02-10T04:26:19.517932,search_stock_info
095340,043,IT H/W,074605,기계장비 및 관련 물품 도매업,2026-02-10T04:26:20.207091,search_stock_info
095610,043,IT H/W,032902,특수 목적용 기계 제조업,2026-02-10T04:26:20.806349,search_stock_info
096530,003,KOSDAQ MID 300,032103,의료용품 및 기타 의약관련제품 제조업,2026-02-10T04:26:21.419246,search_stock_info
096770,008,화학,031902,석유 정제품 제조업,2026-02-10T04:26:22.406325,search_stock_info
098460,024,제조,032902,특수 목적용 기계 제조업,2026-02-10T04:26:23.417850,search_stock_info
099320,043,IT H/W,033103,"항공기,우주선 및 부품 제조업",2026-02-10T04:26:24.349583,search_stock_info
100790,11,기타 금융업,116409,기타 금융업,2026-02-10T04:26:25.228371,search_stock_info:industry_fallback
101490,043,IT H/W,032602,전자부품 제조업,2026-02-10T04:26:25.827593,search_stock_info
102710,024,제조,032004,기타 화학제품 제조업,2026-02-10T04:26:26.738772,search_stock_info
102940,024,제조,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:26:27.807119,search_stock_info
105560,021,금융업,116409,기타 금융업,2026-02-10T04:26:28.653601,search_stock_info
108490,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:26:29.245921,search_stock_info:industry_fallback
112040,042,IT S/W & SVC,105802,소프트웨어 개발 및 공급업,2026-02-10T04:26:30.217230,search_stock_info
115180,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:26:31.367458,search_stock_info:industry_fallback
121600,003,KOSDAQ MID 300,032004,기타 화학제품 제조업,2026-02-10T04:26:32.307699,search_stock_info
122870,003,KOSDAQ MID 300,105902,오디오물 출판 및 원판 녹음업,2026-02-10T04:26:33.310703,search_stock_info
124500,10,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2026-02-10T04:26:33.899203,search_stock_info:industry_fallback
126340,03,일차전지 및 축전지 제조업,032802,일차전지 및 축전지 제조업,2026-02-10T04:26:34.508947,search_stock_info:industry_fallback
127120,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:26:35.436417,search_stock_info:industry_fallback
128940,03,의약품 제조업,032102,의약품 제조업,2026-02-10T04:26:36.513147,search_stock_info:industry_fallback
131290,003,KOSDAQ MID 300,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외",2026-02-10T04:26:37.910132,search_stock_info
131970,13,"그외 기타 전문, 과학 및 기술 서비스업",137309,"그외 기타 전문, 과학 및 기술 서비스업",2026-02-10T04:26:39.009343,search_stock_info:industry_fallback
137400,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:26:40.006352,search_stock_info:industry_fallback
138040,11,기타 금융업,116409,기타 금융업,2026-02-10T04:26:40.609549,search_stock_info:industry_fallback
138930,11,기타 금융업,116409,기타 금융업,2026-02-10T04:26:41.164296,search_stock_info:industry_fallback
140410,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:26:42.106219,search_stock_info:industry_fallback
140860,03,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외",032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외",2026-02-10T04:26:43.023502,search_stock_info:industry_fallback
141080,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:26:44.206705,search_stock_info:industry_fallback
145020,03,기초 의약물질 및 생물학적 제제 제조업,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:26:44.806263,search_stock_info:industry_fallback
