code,sector_name,industry_name,source
ISRG,Health Care,Health Care Equipment,WIKI_SP500
IVZ,Financials,Asset Management & Custody Banks,WIKI_SP500
INVH,Real Estate,Single-Family Residential REITs,WIKI_SP500
IQV,Health Care,Life Sciences Tools & Services,WIKI_SP500
IRM,Real Estate,Other Specialized REITs,WIKI_SP500
JBHT,Industrials,Cargo Ground Transportation,WIKI_SP500
JBL,Information Technology,Electronic Manufacturing Services,WIKI_SP500
JKHY,Financials,Transaction & Payment Processing Services,WIKI_SP500
J,Industrials,Construction & Engineering,WIKI_SP500
JNJ,Health Care,Pharmaceuticals,WIKI_SP500
JCI,Industrials,Building Products,WIKI_SP500
JPM,Financials,Diversified Banks,WIKI_SP500
KVUE,Consumer Staples,Personal Care Products,WIKI_SP500
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,WIKI_SP500
KEY,Financials,Regional Banks,WIKI_SP500
KEYS,Information Technology,Electronic Equipment & Instruments,WIKI_SP500
KMB,Consumer Staples,Household Products,WIKI_SP500
KIM,Real Estate,Retail REITs,WIKI_SP500
KMI,Energy,Oil & Gas Storage & Transportation,WIKI_SP500
KKR,Financials,Asset Management & Custody Banks,WIKI_SP500
KLAC,Information Technology,Semiconductor Materials & Equipment,WIKI_SP500
KHC,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
KR,Consumer Staples,Food Retail,WIKI_SP500
LHX,Industrials,Aerospace & Defense,WIKI_SP500
LH,Health Care,Health Care Services,WIKI_SP500
LRCX,Information Technology,Semiconductor Materials & Equipment,WIKI_SP500
LW,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
LVS,Consumer Discretionary,Casinos & Gaming,WIKI_SP500
LDOS,Industrials,Diversified Support Services,WIKI_SP500
LEN,Consumer Discretionary,Homebuilding,WIKI_SP500
LII,Industrials,Building Products,WIKI_SP500
LLY,Health Care,Pharmaceuticals,WIKI_SP500
LIN,Materials,Industrial Gases,WIKI_SP500
LYV,Communication Services,Movies & Entertainment,WIKI_SP500
LMT,Industrials,Aerospace & Defense,WIKI_SP500
L,Financials,Multi-line Insurance,WIKI_SP500
LOW,Consumer Discretionary,Home Improvement Retail,WIKI_SP500
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",WIKI_SP500
LYB,Materials,Specialty Chemicals,WIKI_SP500
MTB,Financials,Regional Banks,WIKI_SP500
MPC,Energy,Oil & Gas Refining & Marketing,WIKI_SP500
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WIKI_SP500
MRSH,Financials,Insurance Brokers,WIKI_SP500
MLM,Materials,Construction Materials,WIKI_SP500
MAS,Industrials,Building Products,WIKI_SP500
MA,Financials,Transaction & Payment Processing Services,WIKI_SP500
MTCH,Communication Services,Interactive Media & Services,WIKI_SP500
MKC,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
MCD,Consumer Discretionary,Restaurants,WIKI_SP500
MCK,Health Care,Health Care Distributors,WIKI_SP500
MDT,Health Care,Health Care Equipment,WIKI_SP500
MRK,Health Care,Pharmaceuticals,WIKI_SP500
META,Communication Services,Interactive Media & Services,WIKI_SP500
MET,Financials,Life & Health Insurance,WIKI_SP500
MTD,Health Care,Life Sciences Tools & Services,WIKI_SP500
MGM,Consumer Discretionary,Casinos & Gaming,WIKI_SP500
MCHP,Information Technology,Semiconductors,WIKI_SP500
MU,Information Technology,Semiconductors,WIKI_SP500
MSFT,Information Technology,Systems Software,WIKI_SP500
MAA,Real Estate,Multi-Family Residential REITs,WIKI_SP500
MRNA,Health Care,Biotechnology,WIKI_SP500
MOH,Health Care,Managed Health Care,WIKI_SP500
TAP,Consumer Staples,Brewers,WIKI_SP500
MDLZ,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
MPWR,Information Technology,Semiconductors,WIKI_SP500
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,WIKI_SP500
MCO,Financials,Financial Exchanges & Data,WIKI_SP500
MS,Financials,Investment Banking & Brokerage,WIKI_SP500
MOS,Materials,Fertilizers & Agricultural Chemicals,WIKI_SP500
MSI,Information Technology,Communications Equipment,WIKI_SP500
MSCI,Financials,Financial Exchanges & Data,WIKI_SP500
NDAQ,Financials,Financial Exchanges & Data,WIKI_SP500
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
NFLX,Communication Services,Movies & Entertainment,WIKI_SP500
NEM,Materials,Gold,WIKI_SP500
NWSA,Communication Services,Publishing,WIKI_SP500
NWS,Communication Services,Publishing,WIKI_SP500
NEE,Utilities,Multi-Utilities,WIKI_SP500
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",WIKI_SP500
NI,Utilities,Multi-Utilities,WIKI_SP500
NDSN,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
NSC,Industrials,Rail Transportation,WIKI_SP500
NTRS,Financials,Asset Management & Custody Banks,WIKI_SP500
NOC,Industrials,Aerospace & Defense,WIKI_SP500
NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WIKI_SP500
NRG,Utilities,Independent Power Producers & Energy Traders,WIKI_SP500
NUE,Materials,Steel,WIKI_SP500
NVDA,Information Technology,Semiconductors,WIKI_SP500
NVR,Consumer Discretionary,Homebuilding,WIKI_SP500
NXPI,Information Technology,Semiconductors,WIKI_SP500
ORLY,Consumer Discretionary,Automotive Retail,WIKI_SP500
OXY,Energy,Oil & Gas Exploration & Production,WIKI_SP500
ODFL,Industrials,Cargo Ground Transportation,WIKI_SP500
OMC,Communication Services,Advertising,WIKI_SP500
ON,Information Technology,Semiconductors,WIKI_SP500
OKE,Energy,Oil & Gas Storage & Transportation,WIKI_SP500
ORCL,Information Technology,Application Software,WIKI_SP500
OTIS,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment,WIKI_SP500
PKG,Materials,Paper & Plastic Packaging Products & Materials,WIKI_SP500
PLTR,Information Technology,Application Software,WIKI_SP500
PANW,Information Technology,Systems Software,WIKI_SP500
PSKY,Communication Services,Movies & Entertainment,WIKI_SP500
PH,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
PAYX,Industrials,Human Resource & Employment Services,WIKI_SP500
PAYC,Industrials,Human Resource & Employment Services,WIKI_SP500
PYPL,Financials,Transaction & Payment Processing Services,WIKI_SP500
PNR,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,WIKI_SP500
PFE,Health Care,Pharmaceuticals,WIKI_SP500
PCG,Utilities,Multi-Utilities,WIKI_SP500
PM,Consumer Staples,Tobacco,WIKI_SP500
PSX,Energy,Oil & Gas Refining & Marketing,WIKI_SP500
PNW,Utilities,Multi-Utilities,WIKI_SP500
PNC,Financials,Diversified Banks,WIKI_SP500
POOL,Consumer Discretionary,Distributors,WIKI_SP500
PPG,Materials,Specialty Chemicals,WIKI_SP500
PPL,Utilities,Electric Utilities,WIKI_SP500
PFG,Financials,Life & Health Insurance,WIKI_SP500
PG,Consumer Staples,Personal Care Products,WIKI_SP500
PGR,Financials,Property & Casualty Insurance,WIKI_SP500
PLD,Real Estate,Industrial REITs,WIKI_SP500
PRU,Financials,Life & Health Insurance,WIKI_SP500
PEG,Utilities,Electric Utilities,WIKI_SP500
PTC,Information Technology,Application Software,WIKI_SP500
PSA,Real Estate,Self-Storage REITs,WIKI_SP500
PHM,Consumer Discretionary,Homebuilding,WIKI_SP500
PWR,Industrials,Construction & Engineering,WIKI_SP500
QCOM,Information Technology,Semiconductors,WIKI_SP500
DGX,Health Care,Health Care Services,WIKI_SP500
Q,Information Technology,Semiconductor Materials & Equipment,WIKI_SP500
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",WIKI_SP500
RJF,Financials,Investment Banking & Brokerage,WIKI_SP500
RTX,Industrials,Aerospace & Defense,WIKI_SP500
O,Real Estate,Retail REITs,WIKI_SP500
REG,Real Estate,Retail REITs,WIKI_SP500
REGN,Health Care,Biotechnology,WIKI_SP500
RF,Financials,Regional Banks,WIKI_SP500
RSG,Industrials,Environmental & Facilities Services,WIKI_SP500
RMD,Health Care,Health Care Equipment,WIKI_SP500
RVTY,Health Care,Health Care Equipment,WIKI_SP500
HOOD,Financials,Investment Banking & Brokerage,WIKI_SP500
ROK,Industrials,Electrical Components & Equipment,WIKI_SP500
ROL,Industrials,Environmental & Facilities Services,WIKI_SP500
ROP,Information Technology,Electronic Equipment & Instruments,WIKI_SP500
ROST,Consumer Discretionary,Apparel Retail,WIKI_SP500
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WIKI_SP500
SPGI,Financials,Financial Exchanges & Data,WIKI_SP500
CRM,Information Technology,Application Software,WIKI_SP500
SNDK,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
SBAC,Real Estate,Telecom Tower REITs,WIKI_SP500
SLB,Energy,Oil & Gas Equipment & Services,WIKI_SP500
STX,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
SRE,Utilities,Multi-Utilities,WIKI_SP500
NOW,Information Technology,Systems Software,WIKI_SP500
SHW,Materials,Specialty Chemicals,WIKI_SP500
SPG,Real Estate,Retail REITs,WIKI_SP500
SWKS,Information Technology,Semiconductors,WIKI_SP500
SJM,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
SW,Materials,Paper & Plastic Packaging Products & Materials,WIKI_SP500
SNA,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
SOLV,Health Care,Health Care Technology,WIKI_SP500
SO,Utilities,Electric Utilities,WIKI_SP500
LUV,Industrials,Passenger Airlines,WIKI_SP500
SWK,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
SBUX,Consumer Discretionary,Restaurants,WIKI_SP500
STT,Financials,Asset Management & Custody Banks,WIKI_SP500
STLD,Materials,Steel,WIKI_SP500
STE,Health Care,Health Care Equipment,WIKI_SP500
SYK,Health Care,Health Care Equipment,WIKI_SP500
SMCI,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
SYF,Financials,Consumer Finance,WIKI_SP500
SNPS,Information Technology,Application Software,WIKI_SP500
