code,name,market,excd
NCLH,Norwegian Cruise Line Holdings,SP500,NYS
NRG,NRG Energy,SP500,NYS
NUE,Nucor,SP500,NYS
NVDA,Nvidia,SP500,NYS
NVR,"NVR, Inc.",SP500,NYS
NXPI,NXP Semiconductors,SP500,NYS
ORLY,O’Reilly Automotive,SP500,NYS
OXY,Occidental Petroleum,SP500,NYS
ODFL,Old Dominion,SP500,NYS
OMC,Omnicom Group,SP500,NYS
ON,ON Semiconductor,SP500,NYS
OKE,Oneok,SP500,NYS
ORCL,Oracle Corporation,SP500,NYS
OTIS,Otis Worldwide,SP500,NYS
PCAR,Paccar,SP500,NYS
PKG,Packaging Corporation of America,SP500,NYS
PLTR,Palantir Technologies,SP500,NYS
PANW,Palo Alto Networks,SP500,NYS
PSKY,Paramount Skydance Corporation,SP500,NYS
PH,Parker Hannifin,SP500,NYS
PAYX,Paychex,SP500,NYS
PAYC,Paycom,SP500,NYS
PYPL,PayPal,SP500,NYS
PNR,Pentair,SP500,NYS
PEP,PepsiCo,SP500,NYS
PFE,Pfizer,SP500,NYS
PCG,PG&E Corporation,SP500,NYS
PM,Philip Morris International,SP500,NYS
PSX,Phillips 66,SP500,NYS
PNW,Pinnacle West Capital,SP500,NYS
PNC,PNC Financial Services,SP500,NYS
POOL,Pool Corporation,SP500,NYS
PPG,PPG Industries,SP500,NYS
PPL,PPL Corporation,SP500,NYS
PFG,Principal Financial Group,SP500,NYS
PG,Procter & Gamble,SP500,NYS
PGR,Progressive Corporation,SP500,NYS
PLD,Prologis,SP500,NYS
PRU,Prudential Financial,SP500,NYS
PEG,Public Service Enterprise Group,SP500,NYS
PTC,PTC Inc.,SP500,NYS
PSA,Public Storage,SP500,NYS
PHM,PulteGroup,SP500,NYS
PWR,Quanta Services,SP500,NYS
QCOM,Qualcomm,SP500,NYS
DGX,Quest Diagnostics,SP500,NYS
Q,Qnity Electronics,SP500,NYS
RL,Ralph Lauren Corporation,SP500,NYS
RJF,Raymond James Financial,SP500,NYS
RTX,RTX Corporation,SP500,NYS
O,Realty Income,SP500,NYS
REG,Regency Centers,SP500,NYS
REGN,Regeneron Pharmaceuticals,SP500,NYS
RF,Regions Financial Corporation,SP500,NYS
RSG,Republic Services,SP500,NYS
RMD,ResMed,SP500,NYS
RVTY,Revvity,SP500,NYS
HOOD,Robinhood Markets,SP500,NYS
ROK,Rockwell Automation,SP500,NYS
ROL,"Rollins, Inc.",SP500,NYS
ROP,Roper Technologies,SP500,NYS
ROST,Ross Stores,SP500,NYS
RCL,Royal Caribbean Group,SP500,NYS
SPGI,S&P Global,SP500,NYS
CRM,Salesforce,SP500,NYS
SNDK,Sandisk,SP500,NYS
SBAC,SBA Communications,SP500,NYS
SLB,Schlumberger,SP500,NYS
STX,Seagate Technology,SP500,NYS
SRE,Sempra,SP500,NYS
NOW,ServiceNow,SP500,NYS
SHW,Sherwin-Williams,SP500,NYS
SPG,Simon Property Group,SP500,NYS
SWKS,Skyworks Solutions,SP500,NYS
SJM,J.M. Smucker Company (The),SP500,NYS
SW,Smurfit Westrock,SP500,NYS
SNA,Snap-on,SP500,NYS
SOLV,Solventum,SP500,NYS
SO,Southern Company,SP500,NYS
LUV,Southwest Airlines,SP500,NYS
SWK,Stanley Black & Decker,SP500,NYS
SBUX,Starbucks,SP500,NYS
STT,State Street Corporation,SP500,NYS
STLD,Steel Dynamics,SP500,NYS
STE,Steris,SP500,NYS
SYK,Stryker Corporation,SP500,NYS
